ID,Sales_in_thousands,__year_resale_value,Price_in_thousands
Acura_Integra,16.919,16.36,21.5
Acura_TL,39.384,19.875,28.4
Acura_CL,14.114,18.225,22.799
Acura_RL,8.588,29.725,42.0
Audi_A4,20.397,22.255,23.99
Audi_A6,18.78,23.555,33.95
Audi_A8,1.38,39.0,62.0
BMW_323i,19.747,18.07297520661157,26.99
BMW_328i,9.231,28.675,33.4
BMW_528i,17.527,36.125,38.9
Buick_Century,91.561,12.475,21.975
Buick_Regal,39.35,13.74,25.3
Buick_Park Avenue,27.851,20.19,31.965
Buick_LeSabre,83.257,13.36,27.885
Cadillac_DeVille,63.729,22.525,39.895
Cadillac_Seville,15.943,27.1,44.475
Cadillac_Eldorado,6.536,25.725,39.665
Cadillac_Catera,11.185,18.225,31.01
Cadillac_Escalade,14.785,18.07297520661157,46.225
Chevrolet_Cavalier,145.519,9.25,13.26
Chevrolet_Malibu,135.126,11.225,16.535
Chevrolet_Lumina,24.629,10.31,18.89
Chevrolet_Monte Carlo,42.593,11.525,19.39
Chevrolet_Camaro,26.402,13.025,24.34
Chevrolet_Corvette,17.947,36.225,45.705
Chevrolet_Prizm,32.299,9.125,13.96
Chevrolet_Metro,21.855,5.16,9.235
Chevrolet_Impala,107.995,18.07297520661157,18.89
Chrysler_Sebring Coupe,7.854,12.36,19.84
Chrysler_Sebring Conv.,32.775,14.18,24.495
Chrysler_Concorde,31.148,13.725,22.245
Chrysler_Cirrus,32.306,12.64,16.48
Chrysler_LHS,13.462,17.325,28.34
Chrysler_Town & Country,53.48,19.54,22.799
Chrysler_300M,30.696,18.07297520661157,29.185
Dodge_Neon,76.034,7.75,12.64
Dodge_Avenger,4.734,12.545,19.045
Dodge_Stratus,71.186,10.185,20.23
Dodge_Intrepid,88.028,12.275,22.505
Dodge_Viper,0.916,58.47,69.725
Dodge_Ram Pickup,227.061,15.06,19.46
Dodge_Ram Wagon,16.767,15.51,21.315
Dodge_Ram Van,31.038,13.425,18.575
Dodge_Dakota,111.313,11.26,16.98
Dodge_Durango,101.323,18.07297520661157,26.31
Dodge_Caravan,181.749,12.025,19.565
Ford_Escort,70.227,7.425,12.07
Ford_Mustang,113.369,12.76,21.56
Ford_Contour,35.068,8.835,17.035
Ford_Taurus,245.815,10.055,17.885
Ford_Focus,175.67,18.07297520661157,12.315
Ford_Crown Victoria,63.403,14.21,22.195
Ford_Explorer,276.747,16.64,31.93
Ford_Windstar,155.787,13.175,21.41
Ford_Expedition,125.338,23.575,36.135
Ford_Ranger,220.65,7.85,12.05
Ford_F-Series,540.561,15.075,26.935
Honda_Civic,199.685,9.85,12.885
Honda_Accord,230.902,13.21,15.35
Honda_CR-V,73.203,17.71,20.55
Honda_Passport,12.855,17.525,26.6
Honda_Odyssey,76.029,19.49,26.0
Hyundai_Accent,41.184,5.86,9.699
Hyundai_Elantra,66.692,7.825,11.799
Hyundai_Sonata,29.45,8.91,14.999
Infiniti_I30,23.713,19.69,29.465
Jaguar_S-Type,15.467,18.07297520661157,42.8
Jeep_Wrangler,55.557,13.475,14.46
Jeep_Cherokee,80.556,13.775,21.62
Jeep_Grand Cherokee,157.04,18.81,26.895
Lexus_ES300,24.072,26.975,31.505
Lexus_GS300,12.698,32.075,37.805
Lexus_GS400,3.334,18.07297520661157,46.305
Lexus_LS400,6.375,40.375,54.005
Lexus_LX470,9.126,18.07297520661157,60.105
Lexus_RX300,51.238,18.07297520661157,34.605
Lincoln_Continental,13.798,20.525,39.08
Lincoln_Town car,48.911,21.725,43.33
Lincoln_Navigator,22.925,18.07297520661157,42.66
Mitsubishi_Mirage,26.232,8.325,13.987
Mitsubishi_Eclipse,42.541,10.395,19.047
Mitsubishi_Galant,55.616,10.595,17.357
